,0,1,2,3
0,-0.02404213,0.220747,1.1882136,-11.525635
1,-0.106019974,0.011301041,0.8156703,-4.9776926
2,0.31517982,0.14904976,0.48453575,-2.5723262
3,0.13379097,0.19526482,0.40459883,-11.525635
4,0.31273842,0.25036812,0.40812743,-2.5723262
5,-0.07269859,0.35870552,0.030129433,-0.7014859
6,0.20327568,0.34852028,-0.43331856,-2.5723262
7,-0.09615898,0.35561562,-0.32086104,-1.10238
8,-0.10058403,0.3333187,0.10083866,-1.1023796
9,-0.13863564,0.3337574,0.98816323,-20.478943
10,-0.12503624,0.29753685,0.89416915,-13.931001
11,-0.15902519,0.3122425,1.0856669,-11.525635
12,-0.16198158,0.134058,0.68996847,-18.140383
13,-0.07611275,0.039377213,0.60627407,-8.1180315
14,-0.074567795,-0.03706932,0.8524936,-13.663738
15,-0.060167313,-0.07721901,0.7878917,-6.0467443
