,0,1,2,3
0,-0.024866616,0.10579269,-0.86505324,28.543325
1,-0.094092965,0.7094893,-0.5515625,28.543325
2,0.039100613,0.7433688,-0.42684823,36.828457
3,0.35323927,0.5843178,0.11970277,21.861752
4,0.37905866,0.23746182,-0.057640973,28.543324
5,0.37963036,0.20440166,0.042092226,28.743773
6,0.37499994,0.39735135,0.26307163,19.790464
7,0.37393287,0.43071648,0.32299927,28.743773
8,0.37086514,0.4110708,0.33906248,18.721413
9,0.3681212,0.4029916,0.33881485,19.790462
10,0.37357092,0.4039062,0.34171116,20.792698
11,0.36930257,0.39677966,0.34234,-4.9981766
12,0.3714368,0.3946266,0.34260666,14.244757
13,0.36330035,0.3935975,0.34386435,24.267118
14,0.37124622,0.38767144,0.34824702,28.743773
15,0.37339938,0.39085358,0.34655106,20.7927
