,Unnamed: 0,0,1,2,3
0,0,0.36304313,-0.008479385,-1.3178543,-1.6202081
1,1,0.31632054,0.12606712,-0.55285823,8.134895
2,2,0.3560118,0.08664258,-0.36465317,-1.8206555
3,3,0.40875575,0.24380724,-0.09834219,-2.0211024
4,4,0.42358035,-0.17014098,-0.016844476,-2.421997
5,5,0.43063074,-0.2306402,0.03700463,-0.15026169
6,6,0.4321551,-0.09443593,0.24321654,-12.978873
7,7,0.42779163,0.010537384,0.3383766,-6.096862
8,8,0.42931598,0.0038491208,0.35173404,-1.6202081
9,9,0.42849663,-0.0015434087,0.357965,-6.0968623
10,10,0.42638147,-0.008365056,0.35527834,-8.502228
11,11,0.4254478,-0.01594889,0.36793068,-15.050141
12,12,0.43217432,-0.008422221,0.36594895,-10.573502
13,13,0.43188834,-0.01280484,0.36093768,-12.978875
14,14,0.434537,-0.00815545,0.37080804,-16.119211
15,15,0.43125945,-0.012137918,0.3701602,-8.502219
