,0,1,2,3
0,-1.0442276,1.1090508,-0.25417328,-0.73493195
1,0.39585114,0.42077255,0.2084732,-1.5367208
2,-0.09952545,1.0776634,0.25295258,-1.5367208
3,0.045585632,-0.2283516,-0.004234314,-2.3385096
4,0.052375793,-0.13147354,-0.0050735474,-0.73493195
5,0.029792786,-0.30870438,0.0005722046,-0.73493195
6,0.012702942,-0.10248184,0.002784729,-0.73493195
7,-0.0037002563,0.1264,0.004386902,-0.73493195
8,0.0011062622,0.16119003,0.0075912476,-0.73493195
9,-0.007820129,0.17995834,0.0008010864,6.7484293
10,-0.001335144,-0.038547516,0.032463074,-0.73493195
11,0.0025558472,-0.03435135,0.03452301,-0.73493195
12,-0.026512146,-0.03068924,0.031089783,-0.73493195
13,-0.031929016,-0.03763199,0.0333786,6.7484293
14,-0.0016403198,-0.03419876,0.033836365,-1.5367208
15,-0.005302429,-0.00497818,0.035591125,-0.73493195
