,0,1,2,3
0,-0.06660652,-0.0023708344,-0.39021492,-0.30062908
1,-0.2667408,0.33815956,0.3856945,0.50115967
2,-0.17410469,0.32927895,-0.31460762,0.50115967
3,-0.23973274,0.12652016,0.35975456,-17.405457
4,-0.42885017,0.44349098,-0.3124714,0.50115967
5,-0.2453022,0.0944767,0.51608086,0.50115967
6,-0.07202339,0.059503555,-0.29767036,0.50115967
7,-0.35232735,0.43792152,-0.541811,0.50115967
8,-0.16243172,0.4682865,-0.5569172,7.984521
9,-0.24513435,0.462183,-0.5582905,-1.1024178
10,-0.22392464,0.43418312,-0.55623055,-0.30062908
11,-0.26901436,0.44860268,-0.5505848,0.50115967
12,-0.22834969,0.46012306,-0.5553913,0.50115967
13,-0.20759773,0.4761448,-0.54966927,0.50115967
14,-0.18699837,0.42098427,-0.54997444,-1.1024178
15,-0.22102547,0.4824772,-0.55256844,7.984521
