,0,1,2,3
0,0.06897864,4.176772,-1.9623288,30.213718
1,-0.11478658,2.1577363,-0.27351373,28.543325
2,-0.08944357,1.1971799,0.5662538,10.8371525
3,-0.0719512,0.94801825,0.32541922,19.790464
4,-0.06834983,0.6699885,0.62454265,24.267118
5,-0.06499616,0.25365853,0.4984375,15.31381
6,-0.046894033,0.1914253,0.7203505,19.790464
7,-0.048285034,0.3138338,0.6758002,24.267118
8,-0.046493873,0.29980937,0.67881095,19.45638
9,-0.018807156,0.26017526,0.6018864,23.198065
10,-0.01989329,0.31964555,0.3007813,26.338404
11,-0.0053734723,0.30421102,0.31088033,15.31381
12,-0.0074695135,0.38096413,0.2589939,8.431785
13,0.025476381,0.3821265,0.26036587,24.267118
14,-0.0077362806,0.3571074,0.2613186,28.743773
15,-0.0043445146,0.38351744,0.2595846,19.790462
